relevant,format,cathode_material,anode_material,electrolyte,additive,year,title,DOI
Yes,Not found,MnO2,Li-Mg-B alloy,LiNO3-KNO3 eutectic with 35% MgO,Not found,2011,Evaluation of Li-Mg-B alloy anode for intermediate temperature lithium batteries,10.4028/www.scientific.net/AMR.287-290.1553
Yes,Coin,LiFePO4,Lithium metal,B-PEG/PVDF/LiTFSI with [EO]:[Li+] molar ratio of 25:1,Not found,2016,A triPEG-boron based electrolyte membrane for wide temperature lithium ion batteries,10.1039/c6ra02865a
Yes,Coin,Sulfur,Lithium,1 M LITFSI in DOL/DME (1:1 v/v) with 0.1 M LiNO3,LiNO3,2021,Carbon-Based Hybrid Interlayer to Anchor the Shuttling of Polysulfides for High-Performance Lithium-Sulfur Batteries,10.1021/acsaem.1c01522
Yes,Button cell,Activated carbon,Activated carbon,PVA-H2SO4 with h-BN nanosheets,h-BN nanosheets,2017,Dramatically Enhanced Ion Conductivity of Gel Polymer Electrolyte for Supercapacitor via h-BN Nanosheets Doping,10.1016/j.electacta.2017.01.045
Not found,Not found,Not found,Not found,Not found,Not found,2018,Nitrogen and oxygen co-doped graphene quantum dots with high capacitance performance for micro-supercapacitors,10.1016/j.carbon.2018.06.042
Yes,Pouch,NMC111 or NMC442,Graphite,1M LiPF6 in EC/EMC (3:7 by wt.),Pyridine-Boron Trifluoride (PBF) and derivatives,2015,Development of Pyridine-Boron Trifluoride Electrolyte Additives for Lithium-Ion Batteries,10.1149/2.0271507jes
Yes,Coin,Not found,Graphite (boron-doped mesophase-pitch-based carbon fiber),1.5M LiBF4 in a mixture of ethylene carbonate (EC) and γ-butyrolactone (GBL) (1:2 by volume),Not found,2004,Characterization of oxidized boron-doped carbon fiber anodes for Li-ion batteries by analysis of heat of immersion,10.1016/j.electacta.2004.02.010
Not found,Not found,Not found,Not found,Not found,Not found,2021,Trace Metal Loading of B-N-Co-doped Graphitic Carbon for Active and Stable Bifunctional Oxygen Reduction and Oxygen Evolution Electrocatalysts,10.1002/celc.202100374
Yes,Coin,Not found,Graphite,1.2 M LiPF6 in EC/DEC/DMC (1:1:1 by volume),Not found,2020,Electrochemically induced crystallization of amorphous materials in molten MgCl2: boron nitride and hard carbon,10.1039/c9cc08717f
Yes,Flow battery,Not found,Not found,Not found,Boron-doped carbon felt (B-CF),2021,Boron-functionalized carbon felt electrode for enhancing the electrochemical performance of vanadium redox flow batteries,10.1016/j.apsusc.2021.148941
Yes,Coin,Not found,Not found,6 M KOH or 1 M TEABF4 in propylene carbonate,Not found,2016,Nitrogen-rich carbon spheres made by a continuous spraying process for high-performance supercapacitors,10.1007/s12274-016-1199-2
Yes,Not found,Not found,Not found,Li2S–B2S3–Li4SiO4 glass and glass ceramics,Li4SiO4,2006,Synthesis and electrochemical propeities of Li2S-B2S3-Li4SiO4,10.1016/j.ssi.2006.01.005
Not found,Not found,Not found,Not found,2 M KOH or 2 M NaOH,Not found,2020,Electrochemical Behavior of Cobalt Oxide/Boron-Incorporated Reduced Graphene Oxide Nanocomposite Electrode for Supercapacitor Applications,10.1007/s11665-020-05176-z
Yes,Not found,Not found,Graphite,1M LiClO4 dissolved in a 50:50 mixture by volume of ethylene carbonate (EC) and diethyl carbonate (DEC),Not found,2000,Structure and anode performance of pristine and B-doped graphites for Li-ion batteries,10.1080/10587250008025508
Yes,Pouch,NMC532,Graphite,1M LiPF6 in EC/EMC (3:7 by wt.),"PBF, PPF, PSO",2016,A Comparative Study of Pyridine Containing Lewis Acid-Base Adducts as Additives for Li[Ni0.5Mn0.3Co0.2]O2/graphite Pouch Cells,10.1149/2.0041610jes
Yes,Coin,Li1.18Ni0.15Co0.15Mn0.52O2 (LLMO),Lithium Metal,1M LiPF6 in EC:DMC:EMC (1:1:8 molar ratio) with PVDF-HFP and BN additive,Boron Nitride (BN),2019,A boron nitride-polyvinylidene fluoride-co-hexafluoropropylene composite gel polymer electrolyte for lithium metal batteries,10.1016/j.jallcom.2019.06.321
Yes,Not found,Not found,Lithium metal,Li6.5La3Zr1.5Ta0.5O12 (LLZT) garnet solid-state electrolyte,h-BN (hexagonal boron nitride) nanosheets,2020,Toward Moisture-Stable and Dendrite-Free Garnet-Type Solid-State Electrolytes,10.1021/acsaem.0c00905
Yes,Coin,LFP,Lithium metal,LiBFSIE polymer gel electrolyte with PC/EC/FEC plasticizers,LiBFMB,2020,Molecular Design of a Highly Stable Single-Ion Conducting Polymer Gel Electrolyte,10.1021/acsami.0c03363
Yes,Not found,Not found,Not found,1 M LiClO4 in DMF with P(GMMA-PBA) gel polymer electrolyte,Not found,2016,Ultrathin paper-like boron-doped carbon nanosheet electrodes combined with boron-enriched gel polymer electrolytes for high-performance energy storage,10.1039/c6ta06317a
Yes,Coin,NaNi1/3Fe1/3Mn1/3O2 (NFM),Hard carbon (HC),1M NaClO4 in succinonitrile (SCN) with boron-containing cross-linker (B-HEMA),B-HEMA (boron-based anion acceptor),2018,Plastic crystal polymer electrolytes containing boron based anion acceptors for room temperature all-solid-state sodium-ion batteries,10.1016/j.ensm.2018.12.023
Yes,Coin,LiFePO4,Graphite,"1 M LiPF6 in EC/DMC/EMC (1/1/1, w/w/w)",Not found,2013,A trilayer poly(vinylidene fluoride)/polyborate/poly(vinylidene fluoride) gel polymer electrolyte with good performance for lithium ion batteries,10.1039/c3ta00167a
Yes,Coin,Not found,Borocarbonitrides (BxCyNz),LiPF6 (1M) in EC/DEC (1:1 v/v) with 10 vol.% FEC additive,FEC (fluoroethylene carbonate),2014,Excellent Performance of Few-Layer Borocarbonitrides as Anode Materials in Lithium-Ion Batteries,10.1002/asia.201301037
Yes,Not found,Not found,Not found,Li-doped BPO4,Lithium (Li),1999,Neutron and X-ray scattering on Li-doped BPO4,10.1016/S0921-4526(98)01502-6
Yes,"Thin film (implied for application, but tested as bulk glass plates)",Not found,Not found,"xLi2O–(1−x)(yB2O3–(1−y)P2O5) glasses with specific compositions, e.g., 0.45Li2O–0.55(0.5B2O3–0.5P2O5)",Not found,2007,Modification of network structure induced by glass former composition and its correlation to the conductivity in lithium borophosphate glass for solid state electrolyte,10.1016/j.ssi.2007.01.011
Not found,Not found,Not found,Not found,Not found,Not found,2021,"N,O-codoped carbon spheres with uniform mesoporous entangled Co3O4 nanoparticles as a highly efficient electrocatalyst for oxygen reduction in a Zn-air battery",10.1016/j.jcis.2021.07.040
Yes,Coin,F-doped hexagonal boron nitride nanosheets,Magnesium,"0.5M Mg(ClO4)2 in 1,3-dibutylimidazolium bromide [DBIm]Br",Not found,2019,An effective performance of F-Doped hexagonal boron nitride nanosheets as cathode material in magnesium battery,10.1016/j.matchemphys.2019.01.051
Not found,Not found,Not found,Not found,Not found,Not found,2019,Charge Delocalization on BO4- Centers to Improve Conductivity on Single Lithium Ion Conducting Polymer Electrolytes: A Computational/Experimental Approach,10.1021/acs.jpcc.9b02945
Yes,Coin,FeF3,Li,"1.0 mol dm-3 LiPF6 in ethylene carbonate/1,2-dimethyl carbonate (1:1 v/v)",TPFPB and THFBuBO,2016,Improvement of Cycling Performance of FeF3-Based Lithium-Ion Battery by Boron-Based Additives,10.1149/2.0871608jes
Yes,Not found,Not found,Not found,Solid polymer electrolytes composed of polyethers (PEO or P(EO/PO)) and polyanionic lithium salts (Poly(Li-Sorb) or Poly(Li-Muco)) with or without BF3·OEt2,BF3·OEt2,2008,Solid polymer electrolytes composed of polyanionic lithium salts and polyethers,10.1016/j.jpowsour.2008.10.113
Yes,Pouch,NMC442 or NMC622,Graphite,1 mol L⁻¹ LiPF₆ in EC/EMC (3:7 by mass),PBF or PPF,2016,Surface-Electrolyte Interphase Formation in Lithium-Ion Cells Containing Pyridine Adduct Additives,10.1149/2.1091605jes
Yes,Coin,LiNi0.8Co0.15Al0.05O2,Graphite,"1.2 M LiPF6 in EC/PC/DMC (1:1:3, by weight) with 5 wt% PFPTFBB","PFPTFBB (2-(pentafluorophenyl)-tetrafluoro-1,3,2-benzodioxaborole)",2006,Bifunctional electrolyte additive for lithium-ion batteries,10.1016/j.elecom.2006.11.002
Not found,Not found,Not found,Not found,Not found,Not found,2018,Functionalized Carboxyl Carbon/NaBOB Composite as Highly Conductive Electrolyte for Sodium Ion Batteries,10.1002/slct.201801954
Yes,Not found,Not found,Not found,PEG with Li triflate and TEB-modified OIC particles,Triethyl borate (TEB),2013,Solid polymer electrolytes which contain tricoordinate boron for enhanced conductivity and transference numbers,10.1039/c2ta00628f
Yes,Not found,Not found,Not found,Not found,Not found,2011,Lithium-Ion Conducting Electrolyte Salts for Lithium Batteries,10.1002/chem.201101486
Yes,Coin,Not found,Silicon/B4C/Graphite composite,1 M LiPF6 in ethylene carbonate and dimethyl carbonate (1:2 ratio in volume) with 10 wt% fluoroethylene carbonate additive,Fluoroethylene carbonate,2012,Conductive Rigid Skeleton Supported Silicon as High-Performance Li-Ion Battery Anodes,10.1021/nl301657y
Yes,Coin,LFP,Lithium metal,"1 mol L⁻¹ LiPF₆ in a mixture of EC, EMC, DEC, and DMC with composition EC/EMC/DEC/DMC = 30/35/15/20 + 2% VC for room temperature; specific high-temperature electrolyte not detailed",Not found,2018,High-Performance PE-BN/PVDF-HFP Bilayer Separator for Lithium-Ion Batteries,10.1002/admi.201801330
Yes,Coin,Sulfur,Lithium,Not found,Not found,2020,Dense MoS2Micro-Flowers Planting on Biomass-Derived Carbon Fiber Network for Multifunctional Sulfur Cathodes,10.1002/slct.202001729
Yes,Coin,LiCoO2,Graphite,1.0 mol L-1 LiPF6 EC/DMC (1:1 v/v) with 2.0 wt.% TMB,Trimethyl borate (TMB),2019,Trimethyl Borate as Film-Forming Electrolyte Additive To Improve High-Voltage Performances,10.1021/acsami.9b03417
Yes,Swagelok,"Pyrene-4,5,9,10-tetraone (PTO)",Magnesium,"0.5 mol kg⁻¹ Mg(CB11H12)2 in DME-G2 (1:1, w/w) or MMC/G4",Not found,2020,High-power Mg batteries enabled by heterogeneous enolization redox chemistry and weakly coordinating electrolytes,10.1038/s41560-020-00734-0
Yes,Not found,Sulfur,Lithium,"1,3-dioxolane (DOL) and 1,2-dimethoxyethane (DME)",Not found,2019,Interfacial competition between a borophene-based cathode and electrolyte for the multiple-sulfide immobilization of a lithium sulfur battery,10.1039/c8ta12176a
Yes,Not found,Boron-doped carbon microspheres (B-CMs),Lithium metal,Not found,Not found,2016,Metal-free boron-doped carbon microspheres as excellent cathode catalyst for rechargeable Li-O2 battery,10.1007/s10008-016-3412-3
Not found,Not found,Not found,Not found,6M KOH,Not found,2020,Role of graphene in NiSe2/graphene composites - Synthesis and testing for electrochemical supercapacitors,10.1016/j.diamond.2020.107983
Yes,Not found,Not found,Not found,Not found,Not found,2020,Boron and pyridinic nitrogen-doped graphene as potential catalysts for rechargeable non-aqueous sodium-air batteries,10.1039/d0ra03126g
Yes,Coin,Li1+xMn2O4,Metallic lithium,1 M LiPF6 in a 1:1 (volume ratio) mixture of ethylene carbonate/dimethyl carbonate (EC/DMC),Not found,2005,Microstructure and electrochemical properties of LBO-coated Li-excess Li1+xMn2O4 cathode material at elevated temperature for Li-ion battery,10.1016/j.electacta.2005.10.018
Yes,Coin,Li1.2Mn0.54Co0.13Ni0.13O2,Lithium metal,1.0 M LiPF6 in ethylene carbonate (EC) and ethyl methyl carbonate (EMC) (4:6 in weight),LiBOB,2020,Lithium bis(oxalate)borate additive in the electrolyte to improve Li-rich layered oxide cathode materials,10.1039/d0qm00094a
Yes,Coin,Not found,Lithium metal,1 M LiTFSI in 1:1 v/v DOL/DME with 2 wt% LiNO3,Boron nitride nanosheets (BNNSs),2020,Electrolyte with boron nitride nanosheets as leveling agent towards dendrite-free lithium metal anodes,10.1016/j.nanoen.2020.104725
Yes,Not found,Not found,Zinc,1.0 m ZnSO4 aqueous solution,Not found,2020,Flexible Diamond Fibers for High-Energy-Density Zinc-Ion Supercapacitors,10.1002/aenm.202002202
Yes,Not found,Not found,Not found,Polymer composite electrolyte of SPSU(Na)/PPEGMA/hBN,hBN (hexagonal boron nitride),2019,Polymer composite electrolyte of SPSU(Na)/PPEGMA/hBN for sodium-ion batteries,10.1177/0967391119848531
Yes,Not found,Not found,Not found,Li1.3Al0.3Ti1.7(PO4)3 and Li1.3Al0.2B0.1Ti1.7(PO4)3 glass-ceramics,Boron (B),2020,Selective doping to relax glassified grain boundaries substantially enhances the ionic conductivity of LiTi2(PO4)3 glass-ceramic electrolytes,10.1016/j.jpowsour.2019.227574
Yes,Coin,Sulfur composite with graphene-supported N/B rich carbon layer,Lithium metal,1 M LiTFSI in DME/DOL (1:1) with 2 wt% LiNO3,LiNO3,2015,Graphene-Supported Nitrogen and Boron Rich Carbon Layer for Improved Performance of Lithium-Sulfur Batteries Due to Enhanced Chemisorption of Lithium Polysulfides,10.1002/aenm.201501733
Yes,Coin,B4C,Lithium metal,1 M LiTf in Tetraglyme,Not found,2017,B4C as a stable non-carbon-based oxygen electrode material for lithium-oxygen batteries,10.1016/j.nanoen.2017.01.042
Yes,Coin,LiMn2O4,Li4Ti5O12,"0.4 M Li2B12F12 in EC/DMC (1:1 volume), 0.4 M Li2B12F8H4 in EC/DMC (1:1 volume), and 1 M LiPF6 in EC/DMC (1:1 volume)",Not found,2009,Polyfluorinated boron cluster-based salts: A new electrolyte for application in Li4Ti5O12/LiMn2O4 rechargeable lithium-ion batteries,10.1016/j.jpowsour.2009.09.023
Not found,Not found,Not found,Not found,Not found,Not found,2013,Thermal Stability of BNCT Neutron Production Target Synthesized by In-Situ Lithium Deposition and Ion Implantation,10.2320/jinstmet.J2013048
Yes,Coin,Li[Li0.2Mn0.54Ni0.13Co0.13]O2,Lithium foil,1.0 M LiPF6 in EMC/DMC/EC (5/2/3 by weight) with 3% TEB,Triethyl borate (TEB),2016,Understanding Interfacial Properties between Li-Rich Layered Oxide and Electrolyte Containing Triethyl Borate,10.1021/acs.jpcc.6b09097
Yes,Not found,Not found,Not found,Not found,Not found,2017,Use of a PbO2 electrode of a lead-acid battery for the electrochemical degradation of methylene blue,10.1080/01496395.2017.1291681
Yes,Coin,LiMn2O4,Not found,1 M LiPF6 in EC/DMC (2:1 v/v) or 1 M LiBF4 in EC/DMC (2:1 v/v),Not found,2002,Influence of temperature on the interface chemistry of LixMn2O4 electrodes,10.1021/la011354m
Yes,Not found,Not found,Not found,LiBH4 with hydration (LiBH4·H2O),Not found,2015,Enhancement of the lithium-ion conductivity of LiBH4 by hydration,10.1016/j.ssi.2015.06.004
Yes,Coin,Not found,Magnesium,Mes3B-(PhMgCl)2/THF,Not found,2012,Electrochemical performance of novel electrolyte solutions based on organoboron magnesium salts,10.1016/j.elecom.2012.01.026
Not found,Not found,Not found,Not found,Not found,Not found,2019,Perfunctionalized Dodecaborate Clusters as Stable Metal-Free Active Materials for Charge Storage,10.1021/acsaem.9b00610
Yes,Not found,Not found,Magnesium,"Mg[B(HFIP)4]2/glyme (e.g., G1, G2, G3)",Not found,2020,Critical Issues of Fluorinated Alkoxyborate-Based Electrolytes in Magnesium Battery Applications,10.1021/acsami.0c09948
Yes,Not found,LiNi0.5Co0.2Mn0.3O2 (NCM),Not found,1M LiPF6/EC:DMC (1:2),Not found,2019,Improvement of Cycleability and Rate-Capability of LiNi0.5Co0.2Mn0.3O2 Cathode Materials Coated with Lithium Boron Oxide by an Antisolvent Precipitation Method,10.1002/slct.201900874
Yes,Thin film,Not found,Not found,Lithium boron phosphorus oxynitride (LiBPON) thin film,Not found,2019,Effect of boron/phosphorus ratio in lithium boron phosphorus oxynitride thin film electrolytes for all-solid-state thin film batteries,10.1016/j.tsf.2019.06.055
Not found,Not found,Not found,Not found,Not found,Not found,2015,"Salts of novel chelatoborate anions: [RFBX(ox)]-(RF = CF3, C2F5; X = F, OMe; ox = oxalato) and [RFB(OMe)(cat)]-(RF = CF3, C2F5; cat = catecholato)",10.1016/j.jfluchem.2014.08.003
Yes,Swagelok-type,RuO2@m-BCN,Lithium,0.5 M LiClO4 dissolved in dimethyl sulfoxide (DMSO),Not found,2017,Achieving highly stable Li-O2 battery operation by designing a carbon nitride-based cathode towards a stable reaction interface,10.1039/c7ta05009g
Yes,Not found,Not found,Not found,Not found,LiDFOB,2011,Crystal structure and physical properties of lithium difluoro(oxalato)borate (LiDFOB or LiBF2Ox),10.1016/j.jpowsour.2011.07.065
Yes,Coin,Not found,LiB compound,1 M LiPF6 in EC/DMC (1:1),Not found,2006,Electrochemical studies of LiB compound as anode material for lithium-ion battery,10.1016/j.electacta.2006.03.023
Yes,Coin,Not found,MCMB (Mesophase Carbon Microbeads),0.7 M LiBOB in EC/DEC (1:1 by volume),Not found,2021,Influences and Mechanisms of Water on a Solid Electrolyte Interphase Film for Lithium-Ion Batteries,10.1021/acsaem.0c02486
Yes,Not found,Not found,Not found,45 Li2O-55 [x B2O3-(1-x) P2O5] glasses (solid electrolyte),Not found,2011,The mixed glass former effect in twin-roller quenched lithium borophosphate glasses,10.1016/j.ssi.2011.11.034
Yes,Not found,Not found,Not found,"Crosslinked polymer electrolytes doped with lithium trifluoromethane-sulfonate (CF3SO3Li) salt, with variations in PVA and PEG molecular weights and EO/Li ratios",Not found,2011,"Synthesis, characterization, and ionic conductivity of novel crosslinked polymer electrolytes for Li-ion batteries",10.1002/app.35081
Yes,Thin film,Li_{1.2}Mn_2O_4,Li_{1.2}Mn_2O_4,BPO_4:0.035Li_2O,Not found,1997,Electrode and solid electrolyte thin films for secondary lithium-ion batteries,10.1016/S0378-7753(97)02588-3
Not found,Not found,Not found,Not found,Not found,Not found,2011,Analysis of 3000 T class submarines equipped with polymer electrolyte fuel cells,10.1016/j.energy.2011.03.003
Yes,Pouch,NMC442,Graphite,1 mol L^{-1} LiPF6 in EC/EMC (3:7 by mass),"VC, FEC, PBF, PES",2016,Isothermal microcalorimetry as a tool to study solid-electrolyte interphase formation in lithium-ion cells,10.1039/c6cp01309k
Yes,Not found,Not found,Not found,"Hyperbranched organoboron polymer electrolytes derived from glycerol and triethylene glycol with lithium salts such as LiTFSI, LiCF3SO3, or LiClO4",Not found,2011,Hyperbranched organoboron polymer electrolytes derived from glycerol,10.1007/s00289-011-0575-z
Yes,Not found,Not found,Not found,Polymer electrolytes based on PVA-PEGME copolymers doped with CF3SO3Li,Not found,2010,Inorganic-organic polymer electrolytes based on poly(vinyl alcohol) and borane/Poly(ethylene glycol) monomethyl ether for Li-ion batteries,10.1016/j.jpowsour.2010.08.020
Yes,Not found,Not found,Not found,Lithium borophosphate (LiPOB) thin films,Not found,2013,Lithium borophosphate thin film electrolyte as an alternative to LiPON for solder-reflow processed lithium-ion microbatteries,10.1016/j.ssi.2013.07.009
Yes,Coin,Activated Carbon (AC),Li4Ti5O12,"0.4 M Li2B12F12 in EC/DMC (1:1 volume), 0.4 M Li2B12F8H4 in EC/DMC (1:1 volume), and 1 M LiPF6 in EC/DMC (1:1 volume)",Li2B12F12 and Li2B12F8H4,2010,Polyfluorinated boron cluster based slats: A new electrolyte for application in nonaqueous asymmetric AC/Li4Ti5O12 supercapacitors,10.1016/j.jpowsour.2010.08.082
Yes,Coin,LiCoO2,Graphite,1M LiPF6 in EC/EMC (3:7 by wt.) with 2 percent FEC,Not found,2010,Physical and Electrolytic Properties of Partially Fluorinated Methyl Propyl Carbonate and Its Application to Lithium Batteries,10.5796/electrochemistry.78.467
Yes,Coin,LiFePO4,Lithium metal,LPD@PVDF SIPE with gamma-butyrolactone (GBL) plasticizer,LiBAMB (lithium bis(allylmalonato) borate),2018,Effective Suppression of Lithium Dendrite Growth Using a Flexible Single-Ion Conducting Polymer Electrolyte,10.1002/smll.201801420
Yes,"Pellet (constructed into a cell, but not explicitly 'Coin'; inferred from context)",MnO2 (specifically γ-MnO2) with additives B4C or BN,Zinc (Zn),Saturated aqueous LiOH containing 1 mol l⁻¹ ZnSO4 with pH 10.5,"B4C or BN (added to cathode, not electrolyte)",2010,Electrochemical characteristics of B4C or BN added MnO2 cathode material for alkaline batteries,10.1016/j.matchemphys.2010.05.041
Yes,Coin,Not found,Graphite,1.0 M LiPF6 in ethylene carbonate/diethyl carbonate (EC:DEC = 1:1 by volume),Not found,2015,A Thermally Conductive Separator for Stable Li Metal Anodes,10.1021/acs.nanolett.5b02432
Yes,Coin,LiMnO2,Graphite or Lithium,1.0 m LiClO4 in 1:2 BEG-1:EC mixture,BEG-1,1996,A novel electrolyte solvent for rechargeable lithium and lithium-ion batteries,10.1149/1.1837334
Yes,Coin,LiNi1/3Co1/3Mn1/3O2,Lithium,"1 mol L−1 LiPF6 in EC/DEC/EMC (1:1:1, by volume) with 0.5 wt.% LiBOB or 0.2 wt.% LiDFOB","LiBOB, LiDFOB",2014,Enhancement of high voltage cycling performance and thermal stability of LiNi1/3Co1/3Mn1/3O2 cathode by use of boron-based additives,10.1016/j.ssi.2014.06.001
Not found,Not found,Not found,Not found,Not found,Not found,2018,Designing iron carbide embedded isolated boron (B) and nitrogen (N) atoms co-doped porous carbon fibers networks with tiny amount of B-N bonds as high-efficiency oxygen reduction reaction catalysts,10.1016/j.jcis.2018.08.087
Yes,Not found,Not found,Not found,"Mixture of [P4,4,4,8][BScB] ionic liquid and diethylene glycol dibutyl ether (DEGDBE) in 1:5 molar ratio with Li[BScB] salt at various concentrations",Li[BScB],2017,Transport and Association of Ions in Lithium Battery Electrolytes Based on Glycol Ether Mixed with Halogen-Free Orthoborate Ionic Liquid,10.1038/s41598-017-16597-7
Yes,Not found,MnO2,Li-Mg-B alloy,"LiNO3-KNO3-Mg(OH)NO3 (25.5%, 61.3%, and 13.2% by weight respectively)",Not found,2013,Discharge behavior of Li-Mg-B alloy/MnO2 couples with LiNO3-KNO3-Mg(OH)NO3 eutectic electrolyte,10.1016/j.electacta.2013.11.030
Yes,Coin,NaLi1/9Ni2/9Fe2/9Mn4/9O2 (B-doped variant: NaLi1/9Ni2/9Fe2/9Mn4/9B1/50O2),"Sodium metal (for half-cell), Hard carbon (for full-cell)",1 M NaPF6 in ethylene carbonate (EC) and diethyl carbonate (DEC) (1:1 in volume) with 5 vol.% fluoroethylene carbonate (FEC),Not found,2021,Boron-doped sodium layered oxide for reversible oxygen redox reaction in Na-ion battery cathodes,10.1038/s41467-021-25610-7
Not found,Not found,Not found,Not found,Not found,Not found,2019,Enhanced electrochemical supercapacitor performance with a three-dimensional porous boron-doped diamond film,10.1039/c9nj04019f
Not found,Not found,Not found,Not found,1 M H2SO4,Not found,2017,A green and scalable route to yield porous carbon sheets from biomass for supercapacitors with high capacity,10.1039/c7ta07579k
Yes,Coin,"LTO, LFP, NMC, LNMO","Graphite, Lithium metal","EMIM-TFSI ionic liquid containing 1 M LiTFSI salt with exfoliated, carbon-coated hBN nanoplatelets (33-40% by weight)",Not found,2019,High-Modulus Hexagonal Boron Nitride Nanoplatelet Gel Electrolytes for Solid-State Rechargeable Lithium-Ion Batteries,10.1021/acsnano.9b04989
Yes,Coin,LiMn2O4,Graphite,"1.0 M LiPF6 in EC/EMC/DEC (3/5/2, in weight)",Tripropyl borate (TPB),2017,Stabilizing lithium manganese oxide/organic carbonate electrolyte interface with a simple boron-containing additive,10.1016/j.electacta.2017.01.005
Yes,Coin,Mo6S8,Magnesium,Mg[B(Otfe)4]2 in THF,Not found,2021,An Efficient Bulky Mg[B(Otfe)4]2 Electrolyte and Its Derivatively General Design Strategy for Rechargeable Magnesium Batteries,10.1021/acsenergylett.1c01411
Yes,Swagelok-type,Boron-doped carbon microspheres (B-CMs),Aluminum (Al),AlCl3 and 1-ethyl-3-methylimidazolium chloride ([EMIm]Cl) with a molar ratio of 1.3:1,Not found,2019,Boron-doped carbon microspheres as the catalyst for rechargeable Al-air batteries,10.1080/1536383X.2018.1562445
Yes,Not found,Not found,Not found,Not found,TPFPB,2013,Boron-based anion receptors in lithium-ion and metal-air batteries,10.1016/j.jpowsour.2013.09.028
Yes,Coin,Not found,Fe2O3,1M LiPF6 in EC/PC/DMC (1:1:1 v/v/v),Not found,2015,High Reversible Lithium Storage Capacity and Structural Changes of Fe2O3 Nanoparticles Confined inside Carbon Nanotubes,10.1002/aenm.201501755
Yes,Pouch,NMC442,Graphite,1 M LiPF6 in EC:EMC (3:7 by wt.) with various additives,Triallyl phosphate (TAP) and others,2016,A Study of Li-Ion Cells Operated to 4.5 V and at 55°C,10.1149/2.1211610jes
Yes,T-type cells (half-cells with metallic Li counter and reference electrodes),"Not found (paper focuses on anodes and electrolytes, not specific cathode in tests)","Graphite, Carbon black, Li4Ti5O12","Saturated solution (~0.6 mol kg-1) of LiBOB in EC-PC-DMC (1:1:3 by wt.), and variations with other solvents and additives","LiBOB (electrolyte salt, not an additive in the typical sense; other additives tested include ES, DEO, AN, EA, HBOB)",2006,"The behaviour of graphite, carbon black, and Li4Ti5O12 in LiBOB-based electrolytes",10.1007/s10800-006-9175-2
Yes,Not found,Not found,Not found,"Metal borohydrides (e.g., LiBH4, Na2B12H12, CaB12H12, MgB12H12)",Not found,2017,"Metal Borohydrides as Electrolytes for Solid-State Li, Na, Mg, and Ca Batteries: A First-Principles Study",10.1021/acs.chemmater.7b03284
Yes,Coin,LiMn2O4,Lithium metal,1 M LiF + 1 M tris(pentafluorophenyl)borane (TPFPB) in DME or 1:1:3 PC:EC:DMC,Not found,2000,New approaches to the design of polymer and liquid electrolytes for lithium batteries,10.1016/S0378-7753(00)00425-0
Yes,Not found,Not found,Not found,EC-DME equimolar binary solution,"LBSB, 3-MLBSB, DCLBSB, TCLBSB",2001,Application of lithium organoborate with salicylic ligand to lithium battery electrolyte,10.1149/1.1390343
Yes,Not found,Not found,Not found,Not found,B2O3,2021,B2O3-Doped LATP Glass-Ceramics Studied by X-ray Diffractometry and MAS NMR Spectroscopy Methods,10.3390/nano11020390
Yes,Not found,Not found,Not found,Not found,Not found,2018,Novel and versatile room temperature ionic liquids for energy storage,10.1039/c8ee02437e
Yes,Not found,Not found,Not found,Lithium borohydride ammonia borane complexes ((LiBH4)x·AB),Ammonia borane (AB),2019,Incorporation of Ammonia Borane Groups in the Lithium Borohydride Structure Enables Ultrafast Lithium Ion Conductivity at Room Temperature for Solid-State Batteries,10.1021/acs.chemmater.9b03188
Yes,Coin,LMO (Lithium Manganese Oxide),Graphite,1.0 M LiPF6 in EC/DEC (50/50 v/v),Not found,2019,"Ion-Conductive, Viscosity-Tunable Hexagonal Boron Nitride Nanosheet Inks",10.1002/adfm.201902245
Yes,Coin,Sulfur (KB/S composite),Lithium metal,1 M LiTFSI in DOL/DME (1:1 v/v) with 1 wt.% LiNO3,Not found,2020,"Rapid, high-efficient and scalable exfoliation of high-quality boron nitride nanosheets and their application in lithium-sulfur batteries",10.1007/s12274-020-3245-3
Yes,Not found,LiFePO4,Lithium metal,Not found,B-PEG (poly(ethylene glycol)-borate ester),2019,The synergistic effect of poly(ethylene glycol)-borate ester on the electrochemical performance of all solid state Si doped-poly(ethylene glycol) hybrid polymer electrolyte for lithium ion battery,10.1016/j.jpowsour.2019.03.081
Yes,Not found,Not found,Magnesium,"Various compositions including 0.5 M Mg(BH4)2 / THF, 0.1 M Mg(BH4)2 / DME, 0.2 M Mg(BH4)2 / DME + 0.2 M LiBH4 / DME, 0.2 M Mg(BH4)2 / DME + 0.6 M LiBH4 / DME, 0.2 M Mg(BH4)2 / DME + 0.6 M NaBH4 / DME",LiBH4 or NaBH4 (as supporting salts),2017,Interfacial Insight from Operando XAS/TEM for Magnesium Metal Deposition with Borohydride Electrolytes,10.1021/acs.chemmater.7b01189
Yes,Not found,Not found,Not found,"Solutions in PC and diglyme, and solid polymer electrolytes with PEO",Not found,2017,Synthesis and properties of new carboxyborate lithium salts as electrolytes for lithium-ion batteries,10.1016/j.electacta.2017.05.170
