idx,cell_type,CEI&SEI,additives,additives_abbr,temperatures,details,DOI,cathode,anode,electrolyte,title,abstract
534,ZIB,Unspecified,Boric acid,BA,Not found,Unspecified,10.1016/j.ensm.2024.103634,B@BA2 (boron coated with boric acid),Lithium metal,LiTFSI/tetraglyme (TEGDME)-based electrolyte with dissolved boric acid,High-concentrated electron-deficient boron through dual-function boric acid strategy significantly enhancing reaction kinetics and stability of photoassisted Li-CO2 batteries,"['Photoassisted rechargeable Li-CO2 batteries exhibit remarkable advantages in facilitating the formation/ decomposition of insulating Li2CO3, but the conventional photoelectrodes still face issues such as ineffective hole-electron separation and low electrical conductivity. Herein, the boric acid coated boron (B@BAx) composites were developed as photoelectrodes in Li-CO2 batteries. The dissolution of boric acid overlayer has shown the dual functions including the exposure of highly-concentrated electron-deficient boron as primary photocatalyst, and the high-coordination combined with TEGDME-based electrolyte for rapid solvation and desolvation of Li-ions. This defect-enriched boron photocatalyst enables to provide suitable CB/VB values, fast carrier separation, and high conductivity for remarkably promoting reaction kinetics and stability of Li-CO2 batteries on basis of the synergetic effect with dissolved boric acid. As a result, the optimized B@BA2-based photoassisted Li-CO2 battery displayed an ultrahigh energy efficiency of 97.5 % with rare voltage gap of 0.07 V, record-lowest charge voltage of 2.80 V and long-terms cycle stability for 250 h. This unique strategy could broaden applications of high-performance electron-deficient photoelectrodes.']"
544,ZIB,Unspecified,Sodium bis(hexafluoroisopropoxy)borate,Na[B(hfip)4],Not found,Unspecified,10.1002/smll.202311157,NVPF@C@CNT and NFMO,Sodium metal,1 M Na[B(hfip)4].3DME in EC:EMC (3:7 v/v),Fluorine Rich Borate Salt Anion Based Electrolyte for High Voltage Sodium Metal Battery Development,"['This study demonstrates the enhanced performance in high-voltage sodium full cells using a novel electrolyte composition featuring a highly fluorinated borate ester anion (1 M Na[B(hfip)4].3DME) in a binary carbonate mixture (EC:EMC), compared to a conventional electrolyte (1 M Na[PF6] EC:EMC). The prolonged cycling performance of sodium metal battery employing high voltage cathodes (NVPF@C@CNT and NFMO) is attributed to uniform and dense sodium deposition along with the formation of fluorine and boron-rich solid electrolyte interphase (SEI) on the sodium metal anode. Simultaneously, a robust cathode electrolyte interphase (CEI) is formed on the cathode side due to the improved electrochemical stability window and superior aluminum passivation of the novel electrolyte. The CEIs on high-voltage cathodes are discovered to be abundant in C-F, B-O, and B-F components, which contributes to long-term cycling stability by effectively suppressing undesirable side reactions and mitigating electrolyte decomposition. The participation of DME in the primary solvation shell coupled with the comparatively weaker interaction between Na+ and [B(hfip)4]- in the secondary solvation shell, provides additional confirmation of labile desolvation. This, in turn, supports the active participation of the anion in the formation of fluorine and boron-rich interphases on both the anode and cathode. In this work, a novel electrolyte composition featuring fluorine-rich borate ester anion is demonstrated in a sodium full cell with high-voltage fluorophosphate and oxide-based cathodes and sodium metal anode. The participation of anion in the formation of fluorine and boron-rich interphases is desirable for prolonged cycling of the metal battery. The research underscores the potential to investigate similar weakly coordinating anions sharing similar properties, aiming ultimately to improve the long-term cycling performance of high-voltage sodium metal batteries. image']"
584,ZIB,Unspecified,"tris(pentafluorophenyl)borane (TPFPB) and 4-(4,4,5,5-tetramethyl-1,3,2-dioxaborolan-2-yl)pyridine (DiOB-Py)","TPFPB, DiOB-Py",Not found,Unspecified,10.1016/j.ensm.2023.103073,Cu2(OH)3F,Lithium metal,"1 M LiTFSI in DOL/DME (LDD), with additives like TPFPB or DiOB-Py in modified versions",Enable reversible conversion reaction of copper fluoride batteries by hydroxyl solution and anion acceptor,"['Metal fluorides as conversion-reaction cathodes are attracting more attentions due to their advantages of low cost, environmentally friendly and high energy density. Among CuF2 enables the high theoretical energy density (1874 Wh/kg) and conversion reaction potential (3.55 V vs. Li+/Li), but its poor reversibility is always criticized due to the dissolution of Cu species occurring in delithiation process. In response to this conundrum, here we propose a hydroxyl-rich copper fluoride (Cu2(OH)3F) as conversion cathode coupled with an electrolyte additive engineering to address the reversibility bottleneck. The presence of OH enables the effective suppression of Cu+ dissolution and imparts Cu2(OH)3F a phase-division conversion mechanism, resulting in the better reaction reversibility and kinetics. Combing with the electrolyte formulation based on boron-based anion acceptor with mild Lewis acidity, the dissociation and conversion of anions from Cu2(OH)3F lattices are promoted and hence the cycling performance is further upgraded, with a reversible capacity over 200 mA h/g after 50 cycles.']"
626,ZIB,Unspecified,"Pyrazine di-boron trifluoride, Pyridine boron trifluoride, 3,5-Lutidine boron trifluoride, Triazine tri-boron trifluoride","PRZ, PBF, LUTID, TRIZIN",Not found,Unspecified,10.1016/j.electacta.2023.143311,"Fluorinated carbon (CFx, x ≪1)",Lithium foil,"1 M LiBF4 in propylene carbonate (PC)/1,2-dimethoxyethane (DME) (1:1, v:v) with additives",BF3-based Electrolyte Additives Promote Electrochemical Reactions to Boost the Energy Density of Li/CFx Primary Batteries,"['Lithium/fluorinated carbon (Li/CFx) batteries have attracted wide attention due to their high theoretical energy density. However, the reaction product of LiF is an insulator in their discharge process, which seriously hinders the Li+ migration, leading to the inferior capacity of CFx (x approximate to 1) cathodes. Herein, a low-cost and facile electrolyte additive containing the BF3 functional group has been proposed to effectively alleviate the voltage lag phenomenon and improve the energy density of Li/CFx batteries. In particular, the discharge voltage platform and energy density of CFx are significantly increased to 2.62 V (vs 2.51 V in the electrolyte without additives) and 2018 Wh Kg- 1 (vs 1863 Wh Kg-1 in the electrolyte without additives) when the electrolyte contains 1 wt % pyrazine di-boron trifluoride (PRZ), respectively. This significant improvement can be attributed to the BF3based additives effectively dissolving the insulation discharge product LiF, thereby increasing the Li+ migration rate and allowing more CFx to participate in the reaction and release capacity. This work provides a low-cost additive method to maintain high energy density for Li/CFx batteries, which has great potential for practical applications.']"
671,ZIB,Unspecified,hexagonal-BN,h-BN,Not found,Unspecified,10.1016/j.cej.2022.137035,LiFePO4 (LFP),Li metal,PVDF-HFP/LALZO/h-BN 10% hybrid solid electrolyte membrane with LiTFSI salt,High-performance free-standing hybrid solid electrolyte membrane combined with Li6.28Al0.24La3Zr2O12 and hexagonal-BN for all-solid-state lithium-based batteries,"['Hybrid solid electrolytes (HSEs) have received intensive attentions for all-solid-state lithium-based batteries (ASSBs) because of their high ionic conductivity, high mechanical strength, improved electrochemical stability, and effective lithium dendrite suppression capability. In this study, free-standing HSE membranes were fabricated using a poly(vinylidene fluoride-co-hexafluoropropylene) (PVDF-HFP) matrix and Li6.28Al0.24La3Zr2O12 (LALZO)/hexagonal-BN (h-BN) composite ceramic fillers with different amounts of h-BN. The optimal proportion of h-BN (10 wt%) in the HSE membrane reduces the crystallinity of PVDF-HFP matrix, increases the proportion of the electroactive beta phase, and enhances the mechanical strength of the HSE membrane. Furthermore, the PVDFHFP/LALZO/h-BN 10% HSE membrane exhibited improved electrochemical properties, for example, a lithium ion transference number of 0.63 at 55 C, ionic conductivity of 1.1 x 10(-4) S cm(-1) at 25 C, electrochemical stability window of-5.0 V vs. Li/Li+, and effective lithium dendrite suppression capability. The ASSB consisting of a LiFePO4 cathode, PVDF-HFP/LALZO/h-BN 10% HSE, and Li metal anode delivered improved battery performance with an average capacity of 131 mAh g(-1) at 0.2C, > 99% coulombic efficiency, and a capacity retention of 92% after 100 cycles.']"
707,ZIB,Unspecified,"boric acid (H3BO3), lithium boron oxide (LBOx)","H3BO3, LBOx","The solid-state cells were tested at 50°C, but no specific optimal operating temperature is mentioned; the sintering processes used temperatures like 350°C and 800°C for fabrication, not operation.",Unspecified,10.1007/s12274-022-4242-5,NMC811 (LiNi0.8Mn0.1Co0.1O2),Lithium metal,PEO/LATP composite solid electrolyte,Liquid-phase sintering enabling mixed ionic-electronic interphases and free-standing composite cathode architecture toward high energy solid-state battery,"['Solid-state batteries (SSBs) will potentially offer increased energy density and, more importantly, improved safety for next generation lithium-ion (Li-ion) batteries. One enabling technology is solid-state composite cathodes with high operating voltage and area capacity. Current composite cathode manufacturing technologies, however, suffer from large interfacial resistance and low active mass loading that with excessive amounts of polymer electrolytes and conductive additives. Here, we report a liquidphase sintering technology that offers mixed ionic-electronic interphases and free-standing electrode architecture design, which eventually contribute to high area capacity. A small amount (similar to 4 wt.%) of lithium hydroxide (LiOH) and boric acid (H3BO3) with low melting point are utilized as sintering additives that infiltrate into single-crystal Ni-rich LiNi0.8Mn0.1Co0.1 (NMC811) particles at a moderately elevated temperature (similar to 350 degrees C) in a liquid state, which not only enable intimate physical contact but also promote the densification process. In addition, the liquid-phase additives react and transform to ionic-conductive lithium boron oxide, together with the indium tin oxide (ITO) nanoparticle coating, mixed ionic-electronic interphases of composite cathode are successfully fabricated. Furthermore, the liquid-phase sintering performed at high-temperature (similar to 800 degrees C) also enables the fabrication of highly dense and thick composite cathodes with a novel free-standing architecture. The promising performance characteristics of such composite cathodes, for example, delivering an area capacity above 8 mAh.cm(-2) within a wide voltage window up to 4.4 V, open new opportunities for SSBs with a high energy density of 500 Wh-kg(-1) for safer portable electronic and electrical transport.']"
41,LMB,Unspecified,tris(pentafluorophenyl)borane,TPFPB,Not found,Unspecified,10.1039/c8ta09380f,LiNi0.5Mn1.5O4 (LNMO),Li metal,1 M LiPF6 in EC/EMC (3:7 by wt.) with 1 wt% TPFPB,Boron additive passivated carbonate electrolytes for stable cycling of 5 V lithium- metal batteries,"['The limitation of a high-voltage lithium (Li) metal battery lies in the absence of a robust electrolyte that can endure oxidation loss at a high-voltage cathode and suppress the dendrite growth at a Li metal anode. The challenge becomes especially serious when the cathode voltage reaches 5 V and above. Here, we developed an additive-containing electrolyte that can concurrently stabilize the Li metal anode and the 5 V class LiNi0.5Mn1.5O4 (LNMO) cathode by introducing tris(pentafluorophenyl)borane (TPFPB) to the traditional ethylene carbonate/ethyl methyl carbonate (EC/EMC) electrolyte. The boron element and pentafluorobenzene in TPFPB induce preferential formation of a steady and smooth interfacial layer on both the Li and LNMO electrodes, subsequently preventing the decomposition of the electrolyte, impeding the pulverization of the cathode electrode, and retarding the growth of Li dendrites. Accordingly, we accomplish high average coulombic efficiency of >99.2% and superior capacity retention of 90% after 500 cycles at 0.5C with charge cut-off voltage of 4.95 V, which is one of the highest results for cycling among 5 V-class Li metal batteries with 90% capacity retention. This study provides essential technological implications for the electrolyte design for high-voltage Li-metal batteries.']"
43,LMB,Unspecified,Lithium bis(oxalato)borate,LiBOB,25°C,Unspecified,10.1002/adfm.202010611,NCM622,Lithium metal,Lithium bis(trifluoromethanesulfonyl)imide/lithium bis(oxalato)borate (LiTFSI:LiBOB = 0.95:0.05 by mol) in FEC/HFE/PFEMC (1:1:4 by weight),Low Resistance and High Stable Solid-Liquid Electrolyte Interphases Enable High-Voltage Solid-State Lithium Metal Batteries,"['Solid-state batteries (SSBs) with addition of liquid electrolytes are considered to possibly replace the current lithium-ion batteries (LIBs) because they combine the advantages of benign interfacial contact and strong barriers for unwanted redox shuttles. However, solid electrolyte and liquid electrolyte are generally (electro)-chemically incompatible and the resistance of the newly formed solid-liquid electrolyte interphase (SLEI) appears as an additional contribution to the overall battery resistance. Herein, a boron, fluorine-donating liquid electrolyte (B, F-LE) is introduced into the interface between the high-voltage cathode and ultrathin composite solid electrolyte (CSE), which is fabricated by adhering a high content of nanosized Li6.4La3Zr1.4Ta0.6O12 (LLZTO) with poly(vinylidene fluoride-co-hexafluoropropylene) (PVDF-HFP), to generate a low resistance and high stable SLEI in situ, giving a stable high-voltage output with a reinforced cathode|CSE interface. B, F-LE, consisting of a highly fluorinated electrolyte with a lithium bis(oxalato)borate additive, exhibits good chemical compatibility with CSE and enables rapid and uniform transportation of Li+, with its electrochemically and chemically stable interface for high-voltage cathode. Eventually, the B, F-LE assisted LiNi0.6Co0.2Mn0.2O2|Li battery displays the enhanced rate capability and high voltage cycling stability. The findings provide an interfacial engineering strategy to turn SLEI from a real culprit into the savior that may pave a brand-new way to manipulate SLEI chemistry in hybrid solid-liquid devices.']"
72,LMB,Unspecified,Boron Nitride,BN,Not found,Unspecified,10.1002/batt.202500386,NCM523,Li metal,Li1.3Al0.3Ti1.7(PO4)3 (LATP) solid electrolyte with PEO-LiTFSI@BN interfacial layer,Stabilizing Solid-State Li Metal Batteries via a Poly(ethylene oxide)-LiTFSI@Boron Nitride Interfacial Layer,"['Na super-ionic conductor (NASICON)-structured solid electrolyte Li1.3Al0.3Ti1.7(PO4)(3) (LATP) excels in mechanical strength, ionic conductivity, and commercialization prospect, yet its incompatibility against Li metal anode typically leads to interfacial failure, significantly reducing the overall electrochemical performance of fabricated solid-state Li metal batteries (SSLMBs). Here, this issue is tackled by interposing an in situ cured poly(ethylene oxide) (PEO)-LiTFSI@BN interfacial layer between LATP and Li metal. This layer exhibits an ionic conductivity of 7.76 x 10(-5) S cm(-1) at room temperature, robust thermostability, as well as satisfactory stability against Li metal (critical current density: 1.5 mA cm(-2)). A Li|LATP|Li symmetric cell employing the interfacial layer demonstrates long cyclic stability over 1200 cycles with a low overpotential of +/- 100 mV. Furthermore, this interfacial layer enables a LiNi0.5Co0.2Mn0.3O2 (NCM523)|LATP|Li metal SSLMB to sustain 120 cycles of operation at a cutoff voltage of 4.2 V. This work provides a practical strategy for integrating the LATP solid electrolyte into SSLMBs.']"
161,LMB,Unspecified,N-heterocyclic carbene adduct with boron trifluoride (NHCABT),NHCABT,"The high-loading Li||LFP batteries with NHCABT/LiNO3-CBE demonstrate stable cycling at low temperatures, delivering specific discharge capacities of 82.8 mAh g⁻¹ at -20°C and well-recovered capacities upon temperature restoration, indicating effective performance across a range of temperatures, though no specific optimal temperature is explicitly stated; the additive enhances low-temperature performance rather than defining a single optimal point.",Unspecified,10.1016/j.cej.2025.166397,LiFePO4 (LFP) and NCM811,Lithium metal,1.0 M LiPF6 in ethylene carbonate/diethyl carbonate (EC/DEC) with 0.75 wt% NHCABT and 1.0 wt% LiNO3,"N-heterocyclic carbene as a potent LiNO3-solubilizer, Li+-solvation regulator and solid-electrolyte interphase enhancer for highly durable Lithium metal batteries","['Lithium metal batteries are considered promising high-energy-density power sources, but their development is hindered by severe Li dendrite growth and unstable solid electrolyte interphase (SEI) formation. Herein, we report the design of a synergistic-dual-additive electrolyte with unique solvation chemistry by simultaneously introducing N-heterocyclic carbene adduct with boron trifluoride (NHCABT) and lithium nitrate (LiNO3) into carbonate-based electrolytes. The addition of NHCABT with electron-deficient atoms can greatly enhance the solubility of LiNO3 in carbonate-based electrolytes, while the dissolution of LiNO3 is highly conducive to activating boron trifluoride receptor (-BF3) in the adduct. The synergistic effect of NHCABT and LiNO3 markedly optimizes the Li+ solvation sheath, induces the formation of stable SEI rich in numerous inorganic species, and effectively enhancing Li+ conductivity. Consequently, the Li||LiFePO4 batteries based on the synergistic-dualadditive electrolyte exhibit an ultralong cycling lifespan of 3000 cycles at 2.0 C and impressive lowtemperature electrochemical performances at -20 degrees C. When paired with aggressive LiNi0.8Co0.1Mn0.1O2 (NCM811) cathodes, the synergistic-dual-additive electrolyte enables Li||NCM811 batteries to work stably for over 1000 cycles at 1.0 C. This work presents an efficient synergistic-dual-additive strategy to boost the compatibility of carbonate-based electrolytes with lithium metal anodes, providing a promising solution for constructing highly durable lithium metal batteries.']"
243,LMB,SEI,Tris(pentafluorophenyl)borane,TPFPB,Not found,"TPFPB interacts with FSI− anions to decrease their reduction stability and increase the ratio of AGG-II clusters, promoting the decomposition of FSI− to form Li2S, which improves the stability, uniformity, and passivating ability of the SEI, suppresses side reactions, and reduces interface impedance.",10.1002/anie.202107732,LiNi0.5Co0.2Mn0.3O2 (NCM523),Lithium metal,"LiFSI-dimethyl carbonate (DMC)-bis(2,2,2-trifluoroethyl) ether (BTFE, 1.0:1.5:2.0, by mol) with 2.0 wt.% TPFPB",Stable Anion-Derived Solid Electrolyte Interphase in Lithium Metal Batteries,"['High-energy-density lithium (Li) metal batteries are severely hindered by the dendritic Li deposition dictated by non-uniform solid electrolyte interphase (SEI). Despite its unique advantages in improving the uniformity of Li deposition, the current anion-derived SEI is unsatisfactory under practical conditions. Herein regulating the electrolyte structure of anions by anion receptors was proposed to construct stable anion-derived SEI. Tris(pentafluorophenyl)borane (TPFPB) anion acceptors with electron-deficient boron atoms interact with bis(fluorosulfonyl)imide anions (FSI-) and decrease the reduction stability of FSI-. Furthermore, the type of aggregate cluster of FSI- in electrolyte changes, FSI- interacting with more Li ions in the presence of TPFPB. Therefore, the decomposition of FSI- to form Li2S is promoted, improving the stability of anion-derived SEI. In working Li | LiNi0.5Co0.2Mn0.3O2 batteries under practical conditions, the anion-derived SEI with TPFPB undergoes 194 cycles compared with 98 cycles of routine anion-derived SEI. This work inspires a fresh ground to construct stable anion-derived SEI by manipulating the electrolyte structure of anions.']"
255,LMB,Unspecified,Boron Nitride nano-coating,BN,Not found,Unspecified,10.1016/j.joule.2019.03.022,LiFePO4 (LFP) and NMC (LiNi0.33Mn0.33Co0.33O2),Lithium metal,LATP solid electrolyte with BN coating; additional PEO/LiTFSI or liquid electrolyte (1M LiPF6 in EC/DEC) for infiltration,Stabilizing Solid Electrolyte-Anode Interface in Li-Metal Batteries by Boron Nitride-Based Nanocomposite Coating,"['Solid-state Li-metal batteries are promising to improve both safety and energy density compared to conventional Li-ion batteries. However, various high-performance and low-cost solid electrolytes are incompatible with Li, which is indispensable for enhancing energy density. Here, we utilize a chemically inert and mechanically robust boron nitride (BN) film as the interfacial protection to preclude the reduction of Li1.3Al0.3Ti1.7(PO4)(3) (LATP) solid electrolyte by Li, which is validated by in situ transmission electron microscopy. When combined with similar to 1-2 mu m PEO polymer electrolyte at the Li/BN interface, Li/Li symmetric cells show a cycle life of over 500 h at 0.3 mA.cm(-2). In contrast, the same configuration with bare LATP dies after 81 h. The LiFePO4/LATP/BN/PEO/Li solid-state batteries show high capacity retention of 96.6% after 500 cycles. This study offers a general strategy to protect solid electrolytes that are unstable against Li and opens possibilities for adopting them in solid-state Li-metal batteries.']"
376,LMB,SEI,Boron nitride,BN,25°C,"BN partially reacts with lithium metal to create stable Li3N, which forms a protective layer similar to SEI, suppressing side reactions and reducing interface impedance.",10.1016/j.cclet.2024.109775,NCM811 (LiNi0.8Co0.1Mn0.1O2),Lithium metal,Li5.7PS4.7Cl1.3 (LPSC1.3) with boron nitride coating,Enhancing moisture and electrochemical stability of the Li5.7 PS4.7 Cl1.3 electrolyte by boron nitride coating for all-solid-state lithium metal batteries,"['Weak water stability and lithium reactivity are two major stability issues of sulfide solid-state electrolytes (SSEs) for all-solid-state lithium metal batteries. Here, we report on nano-sized boron nitride (BN)-coated Li-5.7 PS4.7 Cl-1.3 (BN@LPSC1.3) sulfide SSE, which exhibits reduced H-2 S emission and improved ionic conductivity retention after relative humidity 1.2 %-1.5 % ambient condition exposure. Furthermore, BN can partially react with lithium metal to create stable Li-3 N, resulting in BN@LPSC1.3 showing reduced reactivity against lithium metal and a higher critical current density of 2.2 mA/cm(2) . The Li/BN@LPSC/Li symmetrical battery also shows considerably greater stability for > 2000 h at a current density of 0.1 mA/cm(2) . Despite the high cathode mass loading of 13.38 mg/cm(2) , the LiNi0.8Co0.1Mn0.1O2/BN@LPSC1.3/Li all-solidstate lithium metal battery achieves 84.34 % capacity retention even after 500 cycles at 0.1 C and room temperature (25 degrees C). (c) 2025 Published by Elsevier B.V. on behalf of Chinese Chemical Society and Institute of Materia Medica, Chinese Academy of Medical Sciences.']"
400,LMB,Unspecified,tris(pentafluorophenyl)borane,TPFPB,Not found,Unspecified,10.1016/S0378-7753(00)00425-0,LiMn2O4,Lithium metal,1 M LiF + 1 M tris(pentafluorophenyl)borane (TPFPB) in DME or 1:1:3 PC:EC:DMC,New approaches to the design of polymer and liquid electrolytes for lithium batteries,"['All non-aqueous lithium battery electrolytes are Lewis bases that interact with cations. Unlike water, they do not interact with anions. The result is a high degree of ion pairing and the formation of triplets and higher aggregates. This decreases the conductivity and the lithium ion transference, and results in polarization losses in batteries. Approaches that have been used to increase ion dissociation in poly(ethylene oxide) (PEO)-based electrolytes are the use of salts with low lattice energy, the addition of polar plasticizers to the polymer, and the addition of cation complexing agents such as crown ethers or cryptands. Complexing of the anions is a more promising approach, since it should increase both ion dissociation and the lithium transference. At Brookhaven National Laboratory (BNL) we have synthesized two new families of neutral anion complexing agents, each based on Lewis acid centers. One is based on electron deficient nitrogen sites on substituted aza-ethers, wherein the hydrogen on the nitrogen is replaced by electron withdrawing groups such as CF3SO3-. The other is based on electron deficient boron sites on borane or berate compounds with various fluorinated aryl or alkyl groups. Some of the borane-based anion receptors can promote the dissolution of LiF in several solvents. Several of these compounds, when added in equivalent amounts, produce 1.2 M LiF solutions in DME, an increase in solubility of LiF by six orders of magnitude. Some of these LiF electrolytes have conductivities as high as 6 X 10(-3) S cm(-1),The LiF electrolytes with borane anion accepters in PC:EC:DEC solvents have excellent electrochemical stability. This has been demonstrated in small Li/LiMn2O4 cells. (C) 2000 Elsevier Science S.A. All rights reserved.']"
416,LMB,SEI,Lithium difluoro(oxalato)borate,LiDFOB,Not found,"The boron-containing additive LiDFOB, in synergy with LiTFSI, decomposes to release boron atoms that initiate polymerization reactions, such as cutting C-O bonds in DME, leading to the formation of a stable and dense SEI layer with components like LiF and organic polymers, which suppresses side reactions and reduces interface impedance.",10.1021/acsenergylett.1c00907,Not found,Lithium metal,4 M LiDFOB + LiTFSI / DME (dimethoxyethane),Predicted Operando Polymerization at Lithium Anode via Boron Insertion,"['Concentrated dual-salt/ester systems have been demonstrated as an effective method in regulating the solid electrolyte interphase (SEI) formation that facilitates the long-term cycling stability of lithium metal batteries (LMBs). However, the atomic mechanism of the dual-salt enabling the stable SEI formation remains unclear. In this work, a hybrid scheme, combining ab initio and reactive force field methods (HAIR), is employed to investigate the initial reaction of SEI formation by monitoring 1 ns molecular dynamics (MD) simulation. The simulation results reveal that lithium bis(trifluoromethanesulfonyl)imide (LiTFSI) is subject to a sacrificial decomposition to protect lithium difluoro(oxalato)borate (LiDFOB) from being over-reduced by Li metal. The boron (B) released from LiDFOB can initiate a polymerization reaction by cutting the C-O bond. Such unexpected reaction turns dimethoxyethane (DME), a previously considered stable solvent, into a radical that can facilitate the propagation of polymerization. These insights from simulation provide atomic understanding about the complex reaction in SEI.']"
442,LMB,Unspecified,Lithium bis(oxalato)borate,LiBOB,Not found,Unspecified,10.1021/acssuschemeng.8b00378,Sulfur encapsulated in boron-doped graphene,Lithium metal,"1.0 M LiN(SO2CF3)2 (LiTFSI)/1,3-dioxolane (DOL) + dimethyl ether (DME) (1:1 by volume ratio) with 2 wt% LiNO3",Simultaneously Exfoliated Boron-Doped Graphene Sheets To Encapsulate Sulfur for Applications in Lithium-Sulfur Batteries,"['Heteroatom-doped high-quality graphene is highly effective in encapsulating sulfur (5) and fabricating a high-performance electrode for lithium-sulfur (Li-S) batteries. Herein, simultaneously exfoliated boron-doped graphene sheets (B-EEGs) are prepared via electrochemical exfoliation of graphite in a 1.0 mol L-1 Li bis(oxalato)borate (LiBOB)/dimethyl methylphosphonate (DMMP) electrolyte. The obtained B-EEG possesses high quality with a large planar size of similar to 11 mu m, few structure defects of I-D/I-G = 0.26, and low oxygen content of 7.93%. After B-EEG is used to encapsulate S through an in situ deposition route, the S@B-EEG with an S content of 72.5% displays a high initial discharge capacity of 1476 mAh g(-1) at 0.1 C. Compared to a conventional S@thermally reduced graphene oxide (S@T-RGO) composite, the S@B-EEG composite exhibits a high capability of 1018 mAh g(-1) at 1 C and excellent capacity retention of 838 mAh g(-1) after 130 cycles. On one hand, the excellent electrochemical performances of SpB-EEG are primarily attributed to the few defects and big planar size of B-EEG, which is helpful for increasing the conductivity of S and suppressing the shuttle of long-chain polysulfides. On the other hand, the doped boron atoms as active sites can efficiently trap polysulfides by chemical adsorption.']"
