title,battery_format,cathode,anode,electrolyte,additives,DOI
"Graphite felt as a versatile electrode material: Properties, reaction environment, performance and applications",[],[[], [], [], []],10.1016/j.electacta.2017.11.165
A stable 3 V all-solid-state sodium-ion battery based on a closo-borate electrolyte,[],[cathode material not specified, anode material not specified, Na-2(B12H12)(0.5)(B10H10)(0.5) electrolyte, additives not specified],10.1039/c7ee02420g
Transport and Association of Ions in Lithium Battery Electrolytes Based on Glycol Ether Mixed with Halogen-Free Orthoborate Ionic Liquid,[],[[], [], [P-4,P-4,10.1038/s41598-017-16597-7
"Metal Borohydrides as Electrolytes for Solid-State Li, Na, Mg, and Ca Batteries: A First-Principles Study",[],[[], [], metal borohydride electrolytes, []],10.1021/acs.chemmater.7b03284
Poly(AN-co-PEGMA)/hBN/NaClO4 composite electrolytes for sodium ion battery,[],[], [], [Poly(AN-co-PEGMA) with NaClO4], [hBN particles],10.1515/epoly-2017-0022
Stitching h-BN by atomic layer deposition of LiF as a stable interface for lithium metal anode,[],[[], lithium metal, carbonate, []],10.1126/sciadv.aao3170
Electrolyte loaded hexagonal boron nitride/polyacrylonitrile nanofibers for lithium ion battery application,[],[LiCoO2, [], 1 M LiPF6 in EC/EMC (1:1 vol), hBN/PAN composite nanofiber separator],10.1016/j.ssi.2017.07.004
"Complex Metal Hydrides for Hydrogen, Thermal and Electrochemical Energy Storage",[],[complex metal hydrides, complex metal hydrides, complex metal hydrides, []],10.3390/en10101645
Beneficial effect of boron in layered sodium-ion cathode materials - The example of Na2/3B0.11Mn0.89O2,[],[Na2/3B0.11Mn0.89O2, [], [], []],10.1016/j.jpowsour.2017.08.012
Strong anion receptor-assisted boron-based Mg electrolyte with wide electrochemical window and non-nucleophilic characteristic,[coin battery],[sulfur, magnesium, BMOC electrolyte, THFPB],10.1016/j.elecom.2017.09.001
"Stable, fast and high-energy-density LiCoO2 cathode at high operation voltage enabled by glassy B2O3 modification",[],[LiCoO2, [], [], B2O3 coating],10.1016/j.jpowsour.2017.06.050
Achieving highly stable Li-O2 battery operation by designing a carbon nitride-based cathode towards a stable reaction interface,[],[mesoporous boron-doped carbon nitride with RuO2 nanoparticles, lithium metal, aprotic electrolyte, []],10.1039/c7ta05009g
Interfacial Insight from Operando XAS/TEM for Magnesium Metal Deposition with Borohydride Electrolytes,[],[[], magnesium metal, borohydride electrolytes, []],10.1021/acs.chemmater.7b01189
"2D boron nitride nanoflakes as a multifunctional additive in gel polymer electrolytes for safe, long cycle life and high rate lithium metal batteries",[],[, lithium metal, gel polymer electrolyte, 2D boron nitride nanoflakes],10.1039/c7ee01095h
Network type sp3 boron-based single-ion conducting polymer electrolytes for lithium ion batteries,[],[LiFePO4, lithium metal, single-ion conducting polymer electrolyte (SIPE), []],10.1016/j.jpowsour.2017.06.006
Amorphous boron nanorod as an anode material for lithium-ion batteries at room temperature,[],[], amorphous boron nanorod anode, [], [],10.1039/c7nr03017g
Electrochemically anodized porous silicon: Towards simple and affordable anode material for Li-ion batteries,[],[cathode material not specified, silicon anode, electrolyte system not specified, additives not specified],10.1038/s41598-017-08285-3
Synthesis and properties of new carboxyborate lithium salts as electrolytes for lithium-ion batteries,[],[[], [], solid polymer electrolyte (PEO-based with BCB salts), []],10.1016/j.electacta.2017.05.170
Ionic liquid/boric ester binary electrolytes with unusually high lithium transference number,[],[[], silicon, ionic liquid/boric ester binary electrolyte, lithium salt],10.1016/j.elecom.2017.06.019
"Mechanisms for electrochemical performance enhancement by the salt-type electrolyte additive, lithium difluoro(oxalato)borate, in high-voltage lithium-ion batteries",[],[Li-rich cathode, graphite anode, baseline electrolyte, LiDFOB additive],10.1016/j.jpowsour.2017.04.094
Improving the electrochemistry performance of layer LiNi0.5Mn0.3Co0.2O2 material at 4.5 V cutoff potential using lithium metaborate,[],[LiNi0.5Mn0.3Co0.2O2, [], [], [LiBO2]],10.1016/j.electacta.2017.05.075
Ion dynamics in halogen-free phosphonium bis(salicylato)borate ionic liquid electrolytes for lithium-ion batteries,[],[], [], [phosphonium bis(salicylato) borate [P-4,P-4,10.1039/c7cp02722b
Enhanced conductivity of sodium versus lithium salts measured by impedance spectroscopy. Sodium cobaltacarboranes as electrolytes of choice,[],[[], [], polymer electrolyte with [Co(C2B9H11)2]⁻ or tetraphenylborate anions, []],10.1039/c7cp02526b
Challenges and issues facing lithium metal for solid-state rechargeable batteries,[],[cathode material, lithium metal, solid electrolytes, []],10.1016/j.jpowsour.2017.04.018
Novel Design Concepts of Efficient Mg-Ion Electrolytes toward High-Performance Magnesium-Selenium and Magnesium-Sulfur Batteries,[coin battery],[Se/C or S/C, Mg, boron-centered magnesium electrolyte, []],10.1002/aenm.201602055
Lithium trapping in alloy forming electrodes and current collectors for lithium based batteries,[],[cathode material not specified, silicon/tin/aluminium anode materials, electrolyte system not specified, additives not specified],10.1039/c7ee00244k
Porous diamond pouch cell supercapacitors,[pouch battery],[boron doped diamond, boron doped diamond, 1M H2SO4 or 1M TEABF4 in propylene carbonate, []],10.1016/j.diamond.2017.04.004
Synergistic Effect of Blended Components in Nonaqueous Electrolytes for Lithium Ion Batteries,[],[cathode material: [], anode material: [], electrolyte system: blended nonaqueous electrolyte formulations (solvent, salt,10.1007/s41061-017-0125-8
A New Anion Receptor for Improving the Interface between Lithium- and Manganese-Rich Layered Oxide Cathode and the Electrolyte,[],[Li1.16Ni0.2Co0.1Mn0.54O2, [], [], tris(2,10.1021/acs.chemmater.6b04784
Electrolyzing synthesis of boron-doped graphene quantum dots for fluorescence determination of Fe3+ ions in water samples,[],[[], [], [], []],10.1016/j.talanta.2016.11.019
Metal-free boron-doped carbon microspheres as excellent cathode catalyst for rechargeable Li-O2 battery,[],[boron-doped carbon microspheres (B-CMs), [], [], []],10.1007/s10008-016-3412-3
B4C as a stable non-carbon-based oxygen electrode material for lithium-oxygen batteries,[],[boron carbide (B4C), lithium, 1 M lithium trifluoromethanesulfonate in tetraglyme, []],10.1016/j.nanoen.2017.01.042
Complete Decomposition of Li2CO3 in Li-O2 Batteries Using Ir/B4C as Noncarbon-Based Oxygen Electrode,[],[Ir/B4C or bare B4C, [], ether-based, []],10.1021/acs.nanolett.6b04371
A Facile Synthesis of Nitrogen-Doped Highly Porous Carbon Nanoplatelets: Efficient Catalysts for Oxygen Electroreduction,[],[N-doped carbon nanoplatelets, [], basic and acidic electrolytes, []],10.1038/srep43366
A long life 4 V class lithium-ion polymer battery with liquid-free polymer electrolyte,[],[4 V class cathode, carbon anode, ether-based solid polymer electrolyte, boron-based lithium salt and polyvinyl chloride modification],10.1016/j.jpowsour.2016.12.009
Dramatically Enhanced Ion Conductivity of Gel Polymer Electrolyte for Supercapacitor via h-BN Nanosheets Doping,[],[activated carbon, activated carbon, PVA-H2SO4 gel polymer electrolyte, h-BN nanosheets],10.1016/j.electacta.2017.01.045
Stabilizing lithium manganese oxide/organic carbonate electrolyte interface with a simple boron-containing additive,[],[LiMn2O4, [], carbonate-based electrolyte, tripropyl borate],10.1016/j.electacta.2017.01.005
Synthesis of High-Purity Imidazolium Tetrafluoroborates and Bis(oxalato)borates,[],[[], [], [], []],10.1002/chem.201604461
A Guide to Ethylene Carbonate-Free Electrolyte Making for Li-Ion Cells,[pouch battery],[Li[Ni0.42Mn0.42Co0.16]O2, graphite, EC-free electrolyte with EMC solvent, FEC/VC/MEC/DiFEC],10.1149/2.0191701jes
Reactions at graphene|tetracyanoborate ionic liquid interface - New safety mechanisms for supercapacitors and batteries,[],[[], [], tetracyanoborate anions, []],10.1016/j.elecom.2016.11.016
Use of a PbO2 electrode of a lead-acid battery for the electrochemical degradation of methylene blue,[],[PbO2, [], [], []],10.1080/01496395.2017.1291681
Polymer Electrolytes Based on Borane/Poly(ethylene glycol) Methyl Ether for Lithium Batteries,[],[[], [], polymer electrolytes with borate ester groups, []],10.1155/2017/4839410
"Studies of Gas Generation, Gas Consumption and Impedance Growth in Li-Ion Cells with Carbonate or Fluorinated Electrolytes Using the Pouch Bag Method",[pouch battery],[Li[Ni0.42Mn0.42Co0.16]O2, graphite, ethylene carbonate-containing or fluorinated electrolyte, []],10.1149/2.1091702jes
Unexpected Dimeric Spiro-Borate Complexes from Lewis-Acid Induced Transformation of Oxalatoborates,[],[], [], [], [],10.1002/zaac.201600319
Characterization of a BODIPY Dye as an Active Species for Redox Flow Batteries,[redox flow battery],[PM567 (BODIPY dye), PM567 (BODIPY dye), organic electrolyte, []],10.1002/cssc.201601104
Dual-salts of LiTFSI and LiODFB for high voltage cathode LiNi0.5Mn1.5O4,[],[LiNi0.5Mn1.5O4, [], LiTFSI and LiODFB mixed salt electrolyte, LiODFB],10.1007/s10008-016-3313-5
Understanding Interfacial Properties between Li-Rich Layered Oxide and Electrolyte Containing Triethyl Borate,[],[Li[Li0.2Mn0.54Ni0.13Co0.13]O2, [], 1.0 M LiPF6 in EMC/DMC/EC (5/2/3 weight ratio), triethyl borate (TEB)],10.1021/acs.jpcc.6b09097
Nitrogen-rich carbon spheres made by a continuous spraying process for high-performance supercapacitors,[],[[], [], aqueous and commercial organic electrolytes, []],10.1007/s12274-016-1199-2
The effectiveness of electrolyte additives in fluorinated electrolytes for high voltage Li[Ni0.4Mn0.4Co0.2]O2/graphite pouch Li-ion cells,[pouch battery],[Li(Ni0.4Mn0.4Co0.2)O2, graphite, 1 M LiPF6/fluoroethylene carbonate:bis(2,2,10.1016/j.jpowsour.2016.09.012
Gel Polymer Electrolytes Containing Anion-Trapping Boron Moieties for Lithium-Ion Battery Applications,[],[], [], gel polymer electrolyte with semi-interpenetrating polymer network structure, boron-containing cross-linker and poly(vinylidene fluoride),10.1021/acsami.6b09601
A lithium ion conductor in Li4SiO4-Li3PO4-LiBO2 ternary system,[],[], [], Li4SiO4-Li3PO4-LiBO2 ternary ceramic system, [],10.1016/j.ssi.2016.06.010
Boronic ionogel electrolytes to improve lithium transport for Li-ion batteries,[],[[], [], boron-containing ionogel electrolyte, []],10.1016/j.electacta.2016.08.084
Some Lewis acid-base adducts involving boron trifluoride as electrolyte additives for lithium ion cells,[pouch battery],[Li[Ni1/3Mn1/3Co1/3]O2 and Li[Ni0.42Mn0.42Co0.16]O2, graphite, LiPF6-based electrolyte, trimethyl phosphate boron trifluoride (TMP-BF),10.1016/j.jpowsour.2016.08.048
High-performance flexible all-solid-state microbatteries based on solid electrolyte of lithium boron oxynitride,[microbattery],[LiCoO2, Li, LiBON, []],10.1016/j.jpowsour.2016.07.114
Enabling linear alkyl carbonate electrolytes for high voltage Li-ion cells,[pouch battery],[Li(Ni0.4Mn0.4Co0.2)O2, graphite, 1 M LiPF6 in ethylmethyl carbonate (EMC), vinylene carbonate,10.1016/j.jpowsour.2016.08.015
Facile Synthesis of Boron-Doped rGO as Cathode Material for High Energy Li-O2 Batteries,[],[B-rGO, [], [], []],10.1021/acsami.6b05403
Enhanced electrochemical properties of Li[Li0.2Mn0.54Ni0.13Co0.13]O2 via lithium boron oxide glass surface treatment,[],[Li-rich layered Li[Li0.2Mn0.54Ni0.13Co0.13]O2, [], [], []],10.1016/j.ssi.2016.05.013
Insight into self-discharge of layered lithium-rich oxide cathode in carbonate-based electrolytes with and without additive,[],[layered lithium-rich oxide, [], carbonated-based electrolyte, trimethyl borate (TMB)],10.1016/j.jpowsour.2016.05.074
Application of porous boron-doped diamond electrode towards electrochemical mineralization of triphenylmethane dye,[],[[], [], [], []],10.1016/j.jelechem.2016.06.023
Graphene-Analogues Boron Nitride Nanosheets Confining Ionic Liquids: A High-Performance Quasi-Liquid Solid Electrolyte,[],[[], [], quasi-liquid solid electrolyte (QLSE) based on graphene-analogues boron nitride nanosheets confining ionic liquids, []],10.1002/smll.201600358
New boron based salts for lithium-ion batteries using conjugated ligands,[],[high voltage cathodes, [], [], []],10.1039/c6cp02409b
Hexagonal Boron Nitride-Based Electrolyte Composite for Li-Ion Battery Operation from Room Temperature to 150 °C,[],[conventional electrodes, conventional electrodes, composite electrolyte/separator (hBN, piperidinium-based ionic liquid,10.1002/aenm.201600218
Rechargeable Room-Temperature Na-CO2 Batteries,[],[electrolyte-treated multi-wall carbon nanotubes, Na, ether-based electrolyte, []],10.1002/anie.201602504
"Synthesis of Lithium Boracarbonate Ion Pairs by Copper-Catalyzed Multi-Component Coupling of Carbon Dioxide, Diboron, and Aldehydes",[],[[], [], [], []],10.1002/anie.201602278
Isothermal microcalorimetry as a tool to study solid-electrolyte interphase formation in lithium-ion cells,[wound cells],[not specified, not specified, not specified, VC,10.1039/c6cp01309k
"Novel, solid-state, highly fluorescent β-ketoiminate spiroborates with aggregation induced emission",[],[[], [], [], []],10.1016/j.dyepig.2016.01.006
Effect of Phosphorus-Doping on Electrochemical Performance of Silicon Negative Electrodes in Lithium-Ion Batteries,[],[[], P-doped Si negative electrode, [], []],10.1021/acsami.6b00386
Graphene-Supported Nitrogen and Boron Rich Carbon Layer for Improved Performance of Lithium-Sulfur Batteries Due to Enhanced Chemisorption of Lithium Polysulfides,[],[LiNi0.8Mn0.1Co0.1O2, graphite, LiPF6 in EC/DEC, vinylene carbonate],10.1002/aenm.201501733
Fluorinated electrolyte for 4.5 V Li(Ni0.4Mn0.4Co0.2)O2/graphite Li-ion cells,[pouch battery],[Li(Ni0.4Mn0.4Co0.2)O2, graphite, 1 M LiPF6/fluoroethylene carbonate:bis (2,2,10.1016/j.jpowsour.2015.12.132
Toward ambient temperature operation with all-solid-state lithium metal batteries with a sp3 boron-based solid single ion conducting polymer electrolyte,[],[LiFePO4, Li, solid polymer electrolyte (PEO-based with sp³ boron SIPE), []],10.1016/j.jpowsour.2015.12.010
Low-temperature direct synthesis of layered m-LiMnO2 for lithium-ion battery applications,[],[layered monoclinic LiMnO2, [], [], []],10.1016/j.jallcom.2015.11.038
High rate lithium-sulfur battery enabled by sandwiched single ion conducting polymer electrolyte,[],[sulfur, lithium, sp³ boron based single ion conducting polymer electrolyte, []],10.1038/srep22048
High Reversible Lithium Storage Capacity and Structural Changes of Fe2O3 Nanoparticles Confined inside Carbon Nanotubes,[],[], [Fe2O3 nanoparticles confined in CNTs], [], [],10.1002/aenm.201501755
Enhancement of the lithium-ion conductivity of LiBH4 by hydration,[],[[], [], solid electrolyte, []],10.1016/j.ssi.2015.06.004
Ionic Covalent Organic Frameworks with Spiroborate Linkage,[],[[], [], [], []],10.1002/anie.201509014
Ultrathin paper-like boron-doped carbon nanosheet electrodes combined with boron-enriched gel polymer electrolytes for high-performance energy storage,[],[B-doped graphene paper, B-doped graphene paper, boron-enriched gel polymer electrolyte, []],10.1039/c6ta06317a
Surface-Electrolyte Interphase Formation in Lithium-Ion Cells Containing Pyridine Adduct Additives,[],[], graphite, [], pyridine boron trifluoride (PBF) and pyridine phosphorus pentafluoride (PPF),10.1149/2.1091605jes
Improvement of Cycling Performance of FeF3-Based Lithium-Ion Battery by Boron-Based Additives,[],[FeF3, Li, LiPF6-ethylene carbonate/1,2-dimethyl carbonate,10.1149/2.0871608jes
A Comparative Study of Pyridine Containing Lewis Acid-Base Adducts as Additives for Li[Ni0.5Mn0.3Co0.2]O2/graphite Pouch Cells,[pouch battery],[Li[Ni0.5Mn0.3Co0.2]O2, graphite, [], PBF,10.1149/2.0041610jes
Electrolyte System for High Voltage Li-Ion Cells,[],[Li[Ni0.4Mn0.4Co0.2]O2, graphite, ethyl methyl carbonate, vinylene carbonate],10.1149/2.0321613jes
One-pot synthesis of boron-doped ordered mesoporous carbons as efficient electrocatalysts for the oxygen reduction reaction,[],[cathode material: [], anode material: [], electrolyte system: [], additives: []],10.1039/c6ra01296e
Bulk-Type All-Solid-State Lithium Batteries Using Complex Hydrides Containing Cluster-Anions,[bulk-type all-solid-state battery],[TiS2, Li, Li2B12H12, []],10.2320/matertrans.MAW201601
A Study of Li-Ion Cells Operated to 4.5 V and at 55°C,[pouch battery],[Li(Ni0.4Mn0.4Co0.2)O2, graphite, LiPF6 in various carbonate solvents, triallyl phosphate,10.1149/2.1211610jes
A triPEG-boron based electrolyte membrane for wide temperature lithium ion batteries,[],[LiFePO4, Li, triPEG-boron based solid polymer electrolyte membrane, LiTFSI],10.1039/c6ra02865a
"A systematic study of some promising electrolyte additives in Li[Ni1/3Mn1/3Co1/3]O2/graphite, Li[Ni0.5Mn0.3Co0.2]/graphite and Li[Ni0.6Mn0.2Co0.2]/graphite pouch cells",[pouch battery],[Li[Ni1/3Mn1/3Co1/3]O2, Li[Ni0.5Mn0.3Co0.2]O2, Li[Ni0.6Mn0.2Co0.2O2], graphite,10.1016/j.jpowsour.2015.08.084
Enhanced ionic conductivity of Li3.5Si0.5P0.5O4 with addition of lithium borate,[],[[], [], LISICON electrolyte system, lithium borate],10.1016/j.ssi.2015.10.009
Hierarchical Nitrogen-Doped Graphene/Carbon Nanotube Composite Cathode for Lithium-Oxygen Batteries,[],[bimodal mesoporous nitrogen-doped graphene/carbon nanotube composite, [], [], []],10.1002/cssc.201501169
Boron based fluoride anion receptors: Electrochemical and sensory applications,[],[[], [], [], boron based fluoride anion receptors],10.1016/j.jorganchem.2015.07.037
Nitrogen-Doped Carbon Nanocages as High-Rate Anode for Lithium Ion Batteries,[],[], nitrogen-doped carbon nanocages (NCNC), [], [],10.6023/A15040289
Conformational Preferences and Electrochemical Performance of Ethyleneoxy Phenylboronate Electrolyte Additives,[],[], [], [], [boron-based redox shuttles],10.1007/s13369-015-1669-y
A Thermally Conductive Separator for Stable Li Metal Anodes,[],[], Li metal anode, organic carbonate-based electrolyte, [],10.1021/acs.nanolett.5b02432
An Efficient Halogen-Free Electrolyte for Use in Rechargeable Magnesium Batteries,[coin battery],[high-voltage cathode, Mg metal, Mg(CB11H12)2/tetraglyme, []],10.1002/anie.201412202
Reduced Graphene Oxide/Boron Nitride Composite Film as a Novel Binder-Free Anode for Lithium Ion Batteries with Enhanced Performances,[],[[], rGO/BN composite film, [], []],10.1016/j.electacta.2015.03.109
"Salts of novel chelatoborate anions: [RFBX(ox)]-(RF = CF3, C2F5; X = F, OMe; ox = oxalato) and [RFB(OMe)(cat)]-(RF = CF3, C2F5; cat = catecholato)",[],[[], [], [], []],10.1016/j.jfluchem.2014.08.003
The Role of Boron in B/C/N and B/C Materials as an Anode of Sodium Ion Batteries,[],[[], B/C/N or B/C materials, 1 M-NaPF6/EC+DEC (1:1), []],10.5796/electrochemistry.83.452
Enhanced ionic conductivity in borate ester plasticized Polyacrylonitrile electrolytes for lithium battery application,[],[[], [], gel polymer electrolyte with PAN host, LiCF3SO3/LiBF4 salts,10.1016/j.electacta.2015.02.214
Polymer Composite Electrolytes Having Core Shell Silica Fillers with Anion-Trapping Boron Moiety in the Shell Layer for All-Solid-State Lithium-Ion Batteries,[],[cathode material: [], anode material: [lithium metal], electrolyte system: [all-solid-state polymer composite electrolyte with organic/inorganic hybrid branched copolymer matrix and core-shell silica particle fillers], additives: [core-shell silica particles with poly(ethylene glycol) and anion-trapping boron moiety]],10.1021/acsami.5b00618
Highly enhanced low temperature discharge capacity of LiNi1/3Co1/3Mn1/3O2 with lithium boron oxide glass modification,[],[LiNi1/3Co1/3Mn1/3O2, [], [], [lithium boron oxide]],10.1016/j.jpowsour.2014.11.149
Paving the Way towards Highly Stable and Practical Electrolytes for Rechargeable Magnesium Batteries,[],[not specified, Mg metal, Mg-compatible electrolytes, BH motif salts],10.1002/celc.201402207
Oxygen reduction and oxygen evolution in DMSO based electrolytes: the role of the electrocatalyst,[],[oxygen (air), [], DMSO based electrolytes, []],10.1039/c5cp04356e
Advanced Multiphase Silicon-Based Anodes for High-Energy-Density Li-Ion Batteries,[coin battery],[Li, Si-C-MWCNT or SiNi/MWCNT, LiPF6 EC:DEC, []],10.1149/2.1111506jes
Recent Advances in the Synthesis and Applications of Organoborane Polymers,[],[[], [], organoborane polymer electrolytes, []],10.1007/978-3-319-13054-5_10
A crystalline low molecular weight cyclic organoboron compound for efficient solid state lithium ion transport,[],[], [], [boric ester/LiTFSI], [],10.1039/c5cc04753f
Density Functional Theory and Conductivity Studies of Boron-Based Anion Receptors,[],[carbon monofluoride, lithium, organic solvents, oxalate-based pentafluorophenyl-boron anion receptor],10.1149/2.1021509jes
Performance and polarization studies of the magnesium-antimony liquid metal battery with the use of in-situ reference electrode,[liquid metal battery],[antimony, magnesium, salt electrolyte, boron nitride],10.1039/c5ra08606j
"A Comparative Study of Pyridine-Boron Trifluoride, Pyrazine-(BF3)2 and Triazine-(BF3)3 as Electrolyte Additives for Lithium-Ion Cells",[pouch battery],[Li[Ni1/3Mn1/3Co1/3]O2 or Li[Ni0.42Mn0.42Co0.16]O2, graphite, [], pyridine boron trifluoride,10.1149/2.0411510jes
Binary Additive Blends Including Pyridine Boron Trifluoride for Li-Ion Cells,[pouch battery],[Li[Ni0.42Mn0.42Co0.16]O2, graphite, [], Pyridine Boron Trifluoride (PBF),10.1149/2.0171509jes
Development of Pyridine-Boron Trifluoride Electrolyte Additives for Lithium-Ion Batteries,[pouch battery],[Li[Ni1/3Mn1/3Co1/3]O2 or Li[Ni0.42Mn0.42Co0.16]O2, graphite, electrolyte system not specified, Pyridine-Boron Trifluoride (PBF) derivatives],10.1149/2.0271507jes
"Development of Pyridine-Boron Trifluoride Electrolyte Additives for Lithium-Ion Batteries (vol 162, p A1186, 2015)",[],[LiNi0.8Co0.1Mn0.1O2, graphite, LiPF6 in EC/EMC, vinylene carbonate],10.1149/2.0241508jes
Enhanced cyclability of rechargeable Li-O2 batteries enabled by boron carbide,[],[B4C, [], [], []],10.1039/c5ra24880a
Novel benzimidazole salts for lithium ion battery electrolytes: effects of substituents,[],[], [], [bis(trifluoroborane)benzimidazolide-based lithium salts], [],10.1039/c5cp00982k
Ultrathin Two-Dimensional Atomic Crystals as Stable Interfacial Layer for Improvement of Lithium Metal Anode,[],[], lithium metal, organic carbonate electrolyte, [],10.1021/nl503125u
Enhancement of high voltage cycling performance and thermal stability of LiNi1/3Co1/3Mn1/3O2 cathode by use of boron-based additives,[],[LiNi1/3Co1/3Mn1/3O2, Li, electrolyte with additives, LiBOB or LiDFOB],10.1016/j.ssi.2014.06.001
"Synthesis, Characterization and Battery Performance of A Lithium Poly (4-vinylphenol) Phenolate Borate Composite Membrane",[],[cathode material, [], LiPVPPB/PVDF-HFP composite electrolyte, []],10.1016/j.electacta.2014.06.173
"Ethylene bis-carbonates as telltales of SEI and electrolyte health, role of carbonate type and new additives",[],[commercial positive films, synthetic graphite powder, EC with DMC/DEC/EMC, VC,10.1016/j.electacta.2014.05.072
Lithium-Ion Batteries with a Wide Temperature Range Operability Enabled by Highly Conductive sp3 Boron-Based Single Ion Polymer Electrolytes,[],[], [], sp(3) boron-based single-ion polymer electrolyte membranes, [],10.1002/ente.201402010
Boron cross-linked graphene oxide/polyvinyl alcohol nanocomposite gel electrolyte for flexible solid-state electric double layer capacitor with high performance,[],[], [], GO-B-PVA/KOH gel electrolyte, [boron cross-linked graphene oxide],10.1016/j.electacta.2014.03.151
A review of electrolytes for lithium-sulphur batteries,[],[sulfur, lithium, liquid electrolyte, []],10.1016/j.jpowsour.2014.01.023
Boron Clusters as Highly Stable Magnesium-Battery Electrolytes,[],[], [], boron cluster/carborane-based electrolyte, [],10.1002/anie.201310317
Nanocomposite polymer electrolytes comprising PVA-graft-PEGME/TiO2 for Li-ion batteries,[],[], [], inorganic-organic nanocomposite polymer electrolytes (NCPEs) with CF3SO3Li dopant and TiO2 nanoparticles, TiO2 nanoparticles,10.1557/jmr.2014.31
Ionic conductivity and the formation of cubic CaH2 in the LiBH4-Ca(BH4)2 composite,[],[[], [], LiBH4-Ca(BH4)2 composite, []],10.1016/j.jssc.2013.12.006
Synthesis of novel organic-ligand-doped sodium bis(oxalate)-borate complexes with tailored thermal stability and enhanced ion conductivity for sodium ion batteries,[],[[], [], sodium bis(oxalate)-borate complexes, []],10.1016/j.jpowsour.2013.09.044
Halogen-free boron based electrolyte solution for rechargeable magnesium batteries,[],[[], magnesium metal, Mg[Mes(3)BPh](2)/THF, []],10.1016/j.jpowsour.2013.09.124
Boron-based anion receptors in lithium-ion and metal-air batteries,[],[], [], [], [boron-based anion receptors],10.1016/j.jpowsour.2013.09.028
Anodic Decomposition of Trimethylboroxine as Additive for High Voltage Li-Ion Batteries,[],[LiCoPO4, [], [], Trimethylboroxine],10.1149/2.0011501jes
Boron-doped graphene as a promising anode for Na-ion batteries,[],[cathode material not mentioned, boron-doped graphene, electrolyte system not mentioned, additives not mentioned],10.1039/c4cp01045k
Discharge behavior of Li-Mg-B alloy/MnO2 couples with LiNO3-KNO3-Mg(OH)NO3 eutectic electrolyte,[],[MnO2, Li-Mg-B alloy, LiNO3-KNO3-Mg(OH)NO3 ternary molten salt, []],10.1016/j.electacta.2013.11.030
A new thermal battery for powering borehole equipment: The discharge performance of Li-Mg-B alloy/LiNO3-KNO3/MnO2 cells at high temperatures,[],[MnO2, Li-Mg-B alloy, LiNO3-KNO3 eutectic, []],10.1016/j.jpowsour.2013.06.140
Excellent Performance of Few-Layer Borocarbonitrides as Anode Materials in Lithium-Ion Batteries,[],[], [BxCyNz], [], [suitable additive],10.1002/asia.201301037
Hybrid electrolyte Li-air rechargeable batteries based on nitrogen- and phosphorus-doped graphene nanosheets,[],[N-doped GNSs or P-doped GNSs, [], hybrid electrolyte, []],10.1039/c4ra00809j
A dispersion-corrected DFT study on adsorption of battery active materials anthraquinone and its derivatives on monolayer graphene and h-BN,[],[AQ/BFFD/BDTD/PID, [], [], []],10.1039/c4ta00103f
A gel single ion polymer electrolyte membrane for lithium-ion batteries with wide-temperature range operability,[],[cathode material not specified, anode material not specified, gel membrane of lithium poly(1,2,10.1039/c4ra02729a
A Composite Gel Polymer Electrolyte with High Performance Based on Poly(Vinylidene Fluoride) and Polyborate for Lithium Ion Batteries,[],[LiFePO4, [], gel polymer electrolyte with LiPF6, []],10.1002/aenm.201300647
The mixed former effect in lithium borophosphate oxynitride thin film electrolytes for all-solid-state micro-batteries,[thin film battery],[LiCoO2, Li, LiBPON, []],10.1016/j.electacta.2013.08.053
"Solid state NMR structural studies of the lithiation of nano-silicon: Effects of charging capacities, host-doping, and thermal treatment",[pouch battery],[[], nano-silicon particles (undoped, P-doped, B-doped),10.1016/j.ssi.2013.07.013
Lithium borophosphate thin film electrolyte as an alternative to LiPON for solder-reflow processed lithium-ion microbatteries,[],[not specified, not specified, lithium borophosphate solid electrolyte thin film, boron additive],10.1016/j.ssi.2013.07.009
Thermal Stability of BNCT Neutron Production Target Synthesized by In-Situ Lithium Deposition and Ion Implantation,[],[[], [], [], []],10.2320/jinstmet.J2013048
PEG crosslinked poly(vinylbenzene boronic acid) polymer electrolytes for Li-ion batteries,[],[[], [], PVBBAPEGX-Y crosslinked polymer electrolyte with CF3SO3Li doping, []],10.1016/j.cap.2013.06.009
Electrochemical stability of lithium salicylato-borates as electrolyte additives in Li-ion batteries,[],[LiMn2O4, graphite, chelato-borate electrolytes, []],10.1016/j.jpowsour.2012.12.105
Tuning the surface chemistry of natural graphite anode by H3PO4 and H3BO3 treatments for improving electrochemical and thermal properties,[],[cathode material, natural graphite anode, electrolyte system, H3PO4 and H3BO3 additives],10.1016/j.carbon.2013.05.065
Blends of lithium bis(oxalato)borate and lithium tetrafluoroborate: Useful substitutes for lithium difluoro(oxalato)borate in electrolytes for lithium metal based secondary batteries?,[],[], copper, ethylene carbonate/diethyl carbonate (3:7 by wt.), LiBOB/LiBF4 blend,10.1016/j.electacta.2013.05.130
Composite polymer electrolytes for lithium ion batteries which contain tricoordinate boron for enhanced conductivity and transference numbers,[],[LiNi0.8Co0.1Mn0.1O2, graphite, LiPF6 in EC/DEC, vinylene carbonate],
